Year,State,Index,M,L,U,Tag,N
2015,India,CNR,0.0018747831480261223,0.0018722869896431477,0.0018772801734318176,All,1383112050
2016,India,CNR,0.0017915506114101881,0.0017891652720273892,0.0017939367793235225,All,1383112050
2017,India,CNR,0.0017120132515718014,0.0017097338112887087,0.0017142934836021366,All,1383112050
2018,India,CNR,0.0016360070181050451,0.0016338287754442086,0.0016381860173628553,All,1383112050
2019,India,CNR,0.00156337514375642,0.00156129360596634,0.00156545740455373,All,1383112050
2015,India,PrevUt,0.0024098908492501403,0.0022696880193287285,0.002551530746093919,All,561636
2016,India,PrevUt,0.002302901767039859,0.0021689233568266027,0.002438253444409967,All,561636
2017,India,PrevUt,0.0022006625529473645,0.0020726322242205246,0.002330005181508496,All,561636
2018,India,PrevUt,0.0021029623326790344,0.0019806160154790344,0.0022265626890850903,All,561636
2019,India,PrevUt,0.00200959959387859,0.00189268494184845,0.00212771261101496,All,561636
2019,India,PrevUt,0.004601234491195411,0.00433354348892519,0.004871669303166145,P10%,56163.600000000006
2019,India,PrevUt,0.0026865873128597713,0.0025302868131043136,0.0028444898792659087,P20%,56163.600000000006
2019,India,PrevUt,0.0021761646462080016,0.0020495595587335107,0.0023040674249167918,P30%,56163.599999999984
2019,India,PrevUt,0.001518858498360388,0.0014304942225316412,0.0016081285004001078,P100%,393145.19999999995
